name,type,pos,apos,lpos,bran,outDia,thick,normal,interPos,p3Pos,outDia2,thick2,rest,mass,wvol,remark,Ispec,material
 =21945/819848,TEE,X 110740mm Y -7700mm Z 30991mm,X 110740mm Y -7700mm Z 30953mm,X 110740mm Y -7700mm Z 31029mm,X7-512-25A_005/B1,33.4,3.38,   0.000   1.000   0.000,,X 110778mm Y -7700mm Z 30991mm,33.4,3.38,,0.79,110723.2+-7716.8+30952.8+110778.1+-7683.2+31029,,,A312_TP304L
 =30137/1702769,TUBI,X 110740mm Y -7700mm Z 31211mm,X 110740mm Y -7700mm Z 31029mm,X 110740mm Y -7700mm Z 31392mm,X7-512-25A_005/B1,33.4,3.38,   0.000  -1.000   0.000,,,0,0,,0.9189,110723.3+-7716.7+31029+110756.7+-7683.3+31392.5,,,A312_TP304L
 =21945/2687587,UBOLT,X 110740mm Y -7700mm Z 31126mm,X 110740mm Y -7700mm Z 31126mm,X 110740mm Y -7700mm Z 31126mm,X7-512-25A_005/B1,0,0,   0.000  -1.000   0.000,,,0,0,2,0.3512,110701+-7730.1+31106+110779+-7643.7+31146,,,
 =21945/819283,ELBO,X 110740mm Y -7700mm Z 31431mm,X 110740mm Y -7700mm Z 31392mm,X 110740mm Y -7738mm Z 31431mm,X7-512-25A_005/B1,33.4,3.38,   1.000   0.000   0.000,X 110740mm Y -7711mm Z 31419mm,,0,0,,0.15,110723.2+-7738.1+31392.5+110756.8+-7683.2+31447.3,,,A312_TP304L
 =21945/819284,FLAN,X 110740mm Y -7793mm Z 31431mm,X 110740mm Y -7738mm Z 31431mm,X 110740mm Y -7793mm Z 31431mm,X7-512-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,1.04,110686+-7793.5+31376.6+110794+-7738.1+31484.5,,,A312_TP304L
 =87481/636,TUBI,X 111220mm Y -825mm Z 30478mm,X 111220mm Y -625mm Z 30478mm,X 111220mm Y -1025mm Z 30478mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,1.0112,111203.3+-1025+30460.8+111236.7+-625+30494.2,,,A312_TP304L
 =87481/633,TUBI,X 111220mm Y -4025mm Z 30478mm,X 111220mm Y -1025mm Z 30478mm,X 111220mm Y -7025mm Z 30478mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,15.168,111203.3+-7025+30460.8+111236.7+-1025+30494.2,,,A312_TP304L
 =21945/2687498,UBOLT,X 111220mm Y -1538mm Z 30478mm,X 111220mm Y -1538mm Z 30478mm,X 111220mm Y -1538mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111181+-1557.5+30421.2+111259+-1517.5+30507.6,,,
 =21945/2687529,UBOLT,X 111220mm Y -2992mm Z 30478mm,X 111220mm Y -2992mm Z 30478mm,X 111220mm Y -2992mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111181+-3012.5+30421.2+111259+-2972.5+30507.6,,,
 =21945/2687501,UBOLT,X 111220mm Y -4522mm Z 30478mm,X 111220mm Y -4522mm Z 30478mm,X 111220mm Y -4522mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111181+-4542.5+30421.2+111259+-4502.5+30507.6,,,
 =21945/2687532,UBOLT,X 111220mm Y -5842mm Z 30478mm,X 111220mm Y -5842mm Z 30478mm,X 111220mm Y -5842mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111181+-5862.5+30421.2+111259+-5822.5+30507.6,,,
 =21945/2582692,TUBI,X 111220mm Y -7819mm Z 30478mm,X 111220mm Y -7027mm Z 30478mm,X 111220mm Y -8612mm Z 30478mm,X5-601-25A_005/B1,33.4,3.38,   0.000   0.000   1.000,,,0,0,,4.0066,111203.3+-8611.9+30460.8+111236.7+-7027+30494.2,,,A312_TP304L
 =21945/2687508,UBOLT,X 111220mm Y -7232mm Z 30478mm,X 111220mm Y -7232mm Z 30478mm,X 111220mm Y -7232mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.3512,111181+-7252.5+30421.2+111259+-7212.5+30507.6,,,
 =21945/2687521,UBOLT,X 111220mm Y -8455mm Z 30478mm,X 111220mm Y -8455mm Z 30478mm,X 111220mm Y -8455mm Z 30478mm,X5-601-25A_005/B1,0,0,   0.000   0.000   1.000,,,0,0,3,0.4823,111160.5+-8475+30423.2+111279.5+-8435+30506.3,,,
 =30137/277522,ELBO,X 111220mm Y -8650mm Z 30478mm,X 111220mm Y -8650mm Z 30439mm,X 111220mm Y -8612mm Z 30478mm,X5-601-25A_005/B1,33.4,3.38,  -1.000   0.000   0.000,X 111220mm Y -8639mm Z 30466mm,,0,0,,0.15,111203.2+-8666.8+30439.4+111236.8+-8611.9+30494.3,,,A312_TP304L
