name,type,pos,poss,pose,size,stru,ori,division,weld
 =21945/2341621,SCTN,X 111436mm Y -7150mm Z 30997mm,X 111436mm Y -7150mm Z 30997mm,X 111436mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   0.000  -1.000   0.000,SUPP,
 =21945/2341622,SCTN,X 111994mm Y -7150mm Z 30997mm,X 111994mm Y -7150mm Z 30997mm,X 111994mm Y -7150mm Z 30451mm,ANG_90x90x10,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2341636,SCTN,X 110720mm Y -4488mm Z 30451mm,X 110720mm Y -4488mm Z 30451mm,X 110720mm Y -4685mm Z 30451mm,ANG_75x75x6,=21945/2202946,   0.000   0.000  -1.000,SUPP,
 =21945/2341641,SCTN,X 110720mm Y -7192mm Z 30451mm,X 110720mm Y -7192mm Z 30451mm,X 110720mm Y -6995mm Z 30451mm,ANG_75x75x6,=21945/2203239,   1.000   0.000   0.000,SUPP,
 =21945/2342942,SCTN,X 111360mm Y -4488mm Z 30451mm,X 111360mm Y -4488mm Z 30451mm,X 111360mm Y -4685mm Z 30451mm,ANG_75x75x6,=21945/2202946,  -1.000   0.000   0.000,SUPP,
 =21945/2342953,SCTN,X 111360mm Y -7192mm Z 30451mm,X 111360mm Y -7192mm Z 30451mm,X 111360mm Y -6995mm Z 30451mm,ANG_75x75x6,=21945/2203239,   0.000   0.000  -1.000,SUPP,
 =21945/2342966,SCTN,X 110720mm Y -6805mm Z 30713mm,X 110720mm Y -6805mm Z 30713mm,X 111360mm Y -6805mm Z 30713mm,ANG_75x75x6,=21945/2342964,   0.000  -1.000   0.000,SUPP,
 =21945/2342967,SCTN,X 111360mm Y -6805mm Z 30461mm,X 111360mm Y -6805mm Z 30461mm,X 111360mm Y -6805mm Z 30713mm,ANG_75x75x6,=21945/2342964,  -1.000   0.000   0.000,SUPP,
 =21945/2342968,SCTN,X 110720mm Y -6805mm Z 30461mm,X 110720mm Y -6805mm Z 30461mm,X 110720mm Y -6805mm Z 30713mm,ANG_75x75x6,=21945/2342964,   0.000  -1.000   0.000,SUPP,
 =21945/2402045,SCTN,X 113610mm Y -8815mm Z 31160mm,X 113610mm Y -8815mm Z 31160mm,X 113610mm Y -8505mm Z 31160mm,ANG_65x65x6,=21945/2402043,   1.000   0.000   0.000,SUPP,
